epoch,acc,loss,lr,val_acc,val_loss
0,0.511255656090617,1.4274799081175216,0.001,0.559214914765051,0.6934438658553368
1,0.5080976623036023,0.7726822842839617,0.001,0.37368772141401285,0.6941529587431782
2,0.5082579187138587,0.7143419429907072,0.001,0.124152944118202,0.7051372274535119
3,0.5401677977805044,0.6893567495216611,0.001,0.8908746184950644,0.6882118581616348
4,0.5659125189795573,0.6741205880544844,0.001,0.9261964116867981,0.6720919476031403
5,0.5700791856102634,0.6709570169089247,0.001,0.9264421895738105,0.6609428151638872
6,0.5756127449541969,0.6667283662663686,0.001,0.9383448620118945,0.649290864979349
7,0.5775075414781297,0.6628683318919186,0.001,0.9445946418160422,0.6389337852448126
8,0.5830033938090007,0.6609587239284141,0.001,0.9405217511169797,0.635060759354314
9,0.584869909538223,0.6587768202273914,0.001,0.9304448582454619,0.6266085277832248
10,0.5873774509264513,0.6585547426707065,0.001,0.9213159645626264,0.6345495648031
11,0.5889894418946579,0.6560926285624324,0.001,0.9396790845717846,0.6245887003262715
12,0.5943250375455681,0.6533279816669216,0.001,0.9356764156301639,0.6195606527789407
13,0.5955976622676418,0.6507962830106238,0.001,0.9133808496841274,0.6269334653807526
14,0.5997454752210039,0.6503029595133406,0.001,0.9220884096056996,0.6176757779831606
15,0.600829562504367,0.6494725713902469,0.001,0.9208946317933441,0.6175598404551569
16,0.6019796380629906,0.6492201885666423,0.001,0.9230364110190138,0.6132328564592227
17,0.6033748113731453,0.6484867743956737,0.001,0.9200168533701227,0.6067631702184351
18,0.606259426901603,0.6465671700589797,0.001,0.9205084091441476,0.6061051431605791
19,0.6087952490306009,0.6448327634489195,0.001,0.9127488508912093,0.6121396435633506
20,0.6117081449222421,0.6435470247520401,0.001,0.9178750739037825,0.5992487394689597
21,0.6141402713313902,0.6433091930854015,0.001,0.8971946215299754,0.6234493760583625
22,0.6133295626302291,0.6416522187524971,0.001,0.8895052835318585,0.6201127029102315
23,0.6159407992708198,0.6409025853395821,0.001,0.9099399597619441,0.5938036205778547
24,0.620248868868182,0.6391766042551124,0.001,0.9079035146677328,0.5899931096715885
25,0.6221625187997545,0.6377882795815734,0.001,0.880832835728983,0.6084103438757196
26,0.6242741326041531,0.6366695737407219,0.001,0.8885572836065153,0.6095681587366705
27,0.6276772247360483,0.6356556658471512,0.001,0.9242652997027655,0.5574070987693547
28,0.6254336351542811,0.6350505448754197,0.001,0.8852568371992157,0.6037953576133022
29,0.6309106333223403,0.6323610532517526,0.001,0.9011972897202859,0.5751047761377243
30,0.6325886123680241,0.6312785166061482,0.001,0.9142586290993293,0.5615078572631573
31,0.6323435143108281,0.6319837823712449,0.001,0.8856781709751284,0.5893137833236757
32,0.6377168174782489,0.6279090189106684,0.001,0.8587830476846082,0.6022308268664589
33,0.6389894419306184,0.6266221428349007,0.000100000005,0.864260384940284,0.5971606583860809
34,0.6389423078181697,0.6255442689806447,0.000100000005,0.8660861622822184,0.5954514952097032
35,0.6389046004275212,0.6251802223839911,0.000100000005,0.8672097183371322,0.5941926760748194
36,0.6408276773685784,0.6243525471262982,0.000100000005,0.8928408420725044,0.5726595155237884
37,0.6412801660204006,0.6237334723745895,0.000100000005,0.8772866117046404,0.5862240216223144
38,0.6408842383826301,0.6243055467691896,1.0000001e-05,0.8763737224100229,0.5869576912834371
39,0.640544871866793,0.623599513156022,1.0000001e-05,0.8776026118450848,0.5857944337321586
40,0.641619532428356,0.6239949567105795,1.0000001e-05,0.8760226111428623,0.5868504595661936
41,0.6412141781407065,0.6236879121304277,1.0000001e-05,0.8766546114237513,0.58624883151524
42,0.6417892158121365,0.624159469593704,1.0000001e-05,0.8774972784649366,0.5852128924925355
43,0.640865384453562,0.6229831219258891,1.0000001e-06,0.8773919450847886,0.585335793004964
44,0.6405825792394613,0.6236278648110357,1.0000001e-06,0.8773217228313565,0.5853604285060127
45,0.6411010556630958,0.6242373863316589,1.0000001e-06,0.8773217228313565,0.5853674975967923
46,0.6407899699599495,0.6238910768726112,1.0000001e-06,0.8771461671977762,0.5855041608512077
47,0.6408371039465361,0.6244556727632319,1.0000001e-06,0.8769355004374798,0.5856054914491129
48,0.6415912519393104,0.6237456068014487,1.0000001e-07,0.8769355004374798,0.5856036006230274
49,0.6414215686094707,0.623812557291661,1.0000001e-07,0.8769003893107638,0.5856120625718717
50,0.6417797888925533,0.6233312617419892,1.0000001e-07,0.8769003893107638,0.5856182696042379
51,0.6422888385404469,0.6239741999818909,1.0000001e-07,0.8769003893107638,0.5856117295719114
52,0.6426564855453295,0.6234326132462216,1.0000001e-07,0.8769003893107638,0.5856180256669815
53,0.6408842381488863,0.62368772427241,1.0000001e-08,0.8769003893107638,0.5856185716246836
